sac-prod-ops-nas-01-con.newokl.com,10.120.2.101
sac-prod1-stor-web-05.unix.newokl.com,10.140.32.15
sac-prod1-stor-web-05-con.newokl.com,10.141.0.15
sac-prod1-stor-web-08.unix.newokl.com,10.140.32.18
sac-prod1-stor-web-08-con.newokl.com,10.141.0.18
sac-prod1-stor-web-11.unix.newokl.com,10.140.32.21
sac-prod1-stor-web-11-con.newokl.com,10.141.0.21
sac-prod1-stor-web-14.unix.newokl.com,10.140.32.24
sac-prod1-stor-web-14-con.newokl.com,10.141.0.24
sac-prod1-stor-web-17.unix.newokl.com,10.140.32.27
sac-prod1-stor-web-17-con.newokl.com,10.141.0.27
sac-prod1-stor-web-06.unix.newokl.com,10.140.32.16
sac-prod1-stor-web-06-con.newokl.com,10.141.0.16
sac-prod1-stor-web-09.unix.newokl.com,10.140.32.19
sac-prod1-stor-web-09-con.newokl.com,10.141.0.109
sac-prod1-stor-web-12.unix.newokl.com,10.140.32.22
sac-prod1-stor-web-12-con.newokl.com,10.141.0.22
sac-prod1-stor-web-15.unix.newokl.com,10.140.32.25
sac-prod1-stor-web-15-con.newokl.com,10.141.0.25
sac-prod1-stor-web-18.unix.newokl.com,10.140.32.28
sac-prod1-stor-web-18-con.newokl.com,10.141.0.28
sac-prod1-stor-cache-03.unix.newokl.com,10.140.32.52
sac-prod1-stor-cache-03-con.newokl.com,10.141.0.52
sac-prod1-stor-mq-02.unix.newokl.com,10.140.32.42
sac-prod1-stor-mq-02-con.newokl.com,10.141.0.42
sac-prod1-stor-db-01.unix.newokl.com,10.140.64.20
sac-prod1-stor-db-01-con.newokl.com,10.141.0.111
sac-prod1-stor-db-04.unix.newokl.com,10.140.64.12
sac-prod1-stor-db-04-con.newokl.com,10.141.0.112
sac-prod1-ops-adm-02.unix.newokl.com,10.140.96.62
sac-prod1-ops-adm-02-con.newokl.com,10.141.0.62
sac-prod1-stor-db-03.unix.newokl.com,10.140.64.13
sac-prod1-stor-db-03-con.newokl.com,10.141.0.113
sac-prod1-stor-db-06.unix.newokl.com,10.140.64.16
sac-prod1-stor-db-06-con.newokl.com,10.141.0.116
sac-prod1-stor-cache-04.unix.newokl.com,10.140.32.53
sac-prod1-stor-cache-04-con.newokl.com,10.141.0.53
sac-prod1-stor-cache-02.unix.newokl.com,10.140.32.51
sac-prod1-stor-cache-02-con.newokl.com,10.141.0.51
sac-prod1-stor-mq-01.unix.newokl.com,10.140.32.41
sac-prod1-stor-mq-01-con.newokl.com,10.141.0.41
sac-prod1-ops-esx-01.unix.newokl.com,10.140.96.71
sac-prod1-ops-esx-01-con.newokl.com,10.141.0.71
sac-prod1-stor-api-03.unix.newokl.com,10.140.32.62
sac-prod1-stor-api-03-con.newokl.com,10.141.0.63
sac-prod1-stor-api-02.unix.newokl.com,10.140.32.61
sac-prod1-stor-api-02-con.newokl.com,10.141.0.61
sac-prod1-stor-db-02.unix.newokl.com,10.140.64.14
sac-prod1-stor-db-02-con.newokl.com,10.141.0.114
sac-prod1-stor-db-05.unix.newokl.com,10.140.64.15
sac-prod1-stor-db-05-con.newokl.com,10.141.0.115
sac-prod1-stor-api-04.unix.newokl.com,10.140.32.63
sac-prod1-stor-api-04-con.newokl.com,10.141.0.163
sac-prod1-stor-web-03.unix.newokl.com,10.140.32.13
sac-prod1-stor-web-03-con.newokl.com,10.141.0.13
sac-prod1-stor-api-01.unix.newokl.com,10.140.32.60
sac-prod1-stor-api-01-con.newokl.com,10.141.0.66
sac-prod1-stor-web-16.unix.newokl.com,10.140.32.26
sac-prod1-stor-web-16-con.newokl.com,10.141.0.126
sac-prod1-rel-deploy-01.unix.newokl.com,10.140.96.100
sac-prod1-rel-deploy-01-con.newokl.com,10.141.0.100
sfo-test-ops-web-08.unix.newokl.com,10.110.11.47
sfo-test-ops-web-07.unix.newokl.com,10.110.11.46
sac-prod1-nexus-web-01.unix.newokl.com,10.140.32.81
sfo-load-sre-gen-01.unix.newokl.com,10.111.3.51
sac-prod1-ops-web-01.unix.newokl.com,10.140.96.58
sac-prod1-ops-web-02.unix.newokl.com,10.140.96.59
sac-prod1-ops-web-03.unix.newokl.com,10.140.96.60
sac-prod1-ops-web-04.unix.newokl.com,10.140.96.63
sac-prod1-ops-web-05.unix.newokl.com,10.140.96.64
sac-prod1-ops-web-06.unix.newokl.com,10.140.96.65
sac-prod-ops-vctr-01.unix.newokl.com,10.120.2.80
sac-prod-ops-vctr-01-con.newokl.com,10.120.2.242
sfo-test-ops-web-09.unix.newokl.com,10.110.11.48
sfo-test-ops-web-10.unix.newokl.com,10.110.11.49
sac-prod1-ops-esx-02.unix.newokl.com,10.140.96.72
sac-prod1-ops-esx-02-con.newokl.com,10.141.96.72
sac-prod1-ops-esx-03.unix.newokl.com,10.140.96.73
sac-prod1-ops-esx-03-con.newokl.com,10.141.96.73
sac-prod1-ops-esx-04.unix.newokl.com,10.140.96.74
sac-prod1-ops-esx-04-con.newokl.com,10.141.96.74
sac-prod1-vend-web-01.unix.newokl.com,10.140.32.71
sac-prod1-vend-web-01-con.newokl.com,10.141.32.71
sac-prod1-vend-rsq-02.unix.newokl.com,10.140.32.74
sac-prod1-vend-rsq-02-con.newokl.com,10.141.32.74
sac-prod1-vend-db-02.unix.newokl.com,10.140.64.76
sac-prod1-vend-db-02-con.newokl.com,10.141.64.76
sac-prod1-pim-app-01.unix.newokl.com,10.140.64.101
sac-prod1-pim-app-01-con.newokl.com,10.141.64.101
sac-prod1-vend-web-02.unix.newokl.com,10.140.32.72
sac-prod1-vend-web-02-con.newokl.com,10.141.32.72
sac-prod1-pim-app-03.unix.newokl.com,10.140.64.103
sac-prod1-pim-app-03-con.newokl.com,10.141.64.103
sac-prod1-nexus-web-02.unix.newokl.com,10.140.32.82
sac-prod1-nexus-rsq-01.unix.newokl.com,10.140.32.83
sac-prod1-nexus-rsq-02.unix.newokl.com,10.140.32.84
sfo-qa-color-web-01.unix.newokl.com,10.110.11.142
sac-prod-gen-web-01.unix.newokl.com,10.120.3.246
sac-prod-gen-web-01-con.newokl.com,10.120.2.246
sac-prod-gen-web-02.unix.newokl.com,10.120.3.247
sac-prod-gen-web-02-con.newokl.com,10.120.2.247
sfo-test-splnk-web-01.unix.newokl.com,10.110.11.50
sfo-test-splnk-data-01.unix.newokl.com,10.110.11.51
sfo-test-splnk-data-02.unix.newokl.com,10.110.11.52
sac-prod1-ops-esx-05.unix.newokl.com,10.140.96.75
sac-prod1-ops-esx-05-con.newokl.com,10.141.96.75
sac-prod1-ops-esx-06.unix.newokl.com,10.140.96.76
sac-prod1-ops-esx-06-con.newokl.com,10.141.96.77
sac-prod1-apiserver-web-01.unix.newokl.com,10.140.64.71
sac-prod1-apiserver-web-01-con.newokl.com,10.141.64.71
sac-prod1-mrktapp-web-01.unix.newokl.com,10.140.64.45
sac-prod1-feeds-web-01.unix.newokl.com,10.140.32.35
sac-prod1-color-web-01.unix.newokl.com,10.140.64.41
sac-prod1-color-web-01-con.newokl.com,10.141.64.41
sac-prod1-apiserver-web-02.unix.newokl.com,10.140.64.72
sac-prod1-apiserver-web-02-con.newokl.com,10.141.64.72
sfo-ops-devops-web-01.unix.newokl.com,10.110.11.59
sac-prod1-color-web-02.unix.newokl.com,10.140.64.42
sac-prod1-color-web-02-con.newokl.com,10.141.64.42
sac-prod1-feeds-web-02.unix.newokl.com,10.140.32.36
sac-prod1-mrktapp-web-02.unix.newokl.com,10.140.64.46
sac-prod1-product-web-01.unix.newokl.com,10.140.64.37
sac-prod1-product-web-02.unix.newokl.com,10.140.64.38
sac-prod1-compass-web-01.unix.newokl.com,10.140.64.43
sac-prod1-compass-web-02.unix.newokl.com,10.140.64.44
sac-prod1-warehouse-web-01.unix.newokl.com,10.140.32.47
sac-prod1-warehouse-web-02.unix.newokl.com,10.140.32.48
sac-prod1-ops-app-01.unix.newokl.com,10.140.96.101
sac-prod1-splnk-web-01.unix.newokl.com,10.140.96.77
sac-prod1-splnk-data-01.unix.newokl.com,10.140.96.78
sac-prod1-splnk-data-02.unix.newokl.com,10.140.96.79
sac-prod1-it-noma-01.unix.newokl.com,10.140.128.10
sfo-qa-devops-web-01.unix.newokl.com,10.110.11.100
sfo-int-elysium-web-01.unix.newokl.com,10.110.11.101
sfo-int-elysium-web-02.unix.newokl.com,10.110.11.102
sfo-qa-catalog-web-01.unix.newokl.com,10.110.11.155
sfo-qa-catalog-web-02.unix.newokl.com,10.110.11.156
sfo-int-catalog-web-01.unix.newokl.com,10.110.11.105
sfo-int-catalog-web-02.unix.newokl.com,10.110.11.106
sac-prod1-apiserver-web-03.unix.newokl.com,10.140.64.73
sac-prod1-apiserver-web-03-con.newokl.com,10.141.64.73
sac-prod1-apiserver-web-04.unix.newokl.com,10.140.64.74
sac-prod1-apiserver-web-04-con.newokl.com,10.141.64.74
sfo-qa-color-web-02.unix.newokl.com,10.110.11.107
sfo-qa-rel-web-01.unix.newokl.com,10.110.11.150
boa-prod1-ops-adm-01.unix.newokl.com,10.142.96.61
boa-prod1-ops-adm-02.unix.newokl.com,10.142.96.62
sfo-dev-stor-gen-01.unix.newokl.com,10.110.11.160
sfo-dev-stor-gen-02.unix.newokl.com,10.110.11.161
sfo-dev-stor-gen-03.unix.newokl.com,10.110.11.162
sfo-dev-stor-gen-04.unix.newokl.com,10.110.11.163
sac-prod1-abtest-web-01.unix.newokl.com,10.140.64.81
sac-prod1-abtest-web-01-con.newokl.com,10.141.64.81
sac-prod1-abtest-web-02.unix.newokl.com,10.140.64.82
sac-prod1-abtest-web-02-con.newokl.com,10.141.64.82
sfo-load-catalog-web-01.unix.newokl.com,10.110.11.164
sfo-load-catalog-web-02.unix.newokl.com,10.110.11.165
sfo-cloud-ops-esx-03.unix.newokl.com,10.110.11.6
sac-prod1-srch-data-01.unix.newokl.com,10.140.64.61
sac-prod1-srch-data-01-con.newokl.com,10.141.64.61
sac-prod1-srch-data-03.unix.newokl.com,10.140.64.63
sac-prod1-srch-data-03-con.newokl.com,10.141.64.63
sac-prod1-srch-data-02.unix.newokl.com,10.140.64.62
sac-prod1-srch-data-02-con.newokl.com,10.141.64.62
sac-prod1-vend-rsq-01.unix.newokl.com,10.140.32.73
sac-prod1-vend-rsq-01-con.newokl.com,10.141.32.73
sfo-int-inventory-web-01.unix.newokl.com,10.110.11.166
sac-prod1-load-drv-01.unix.newokl.com,10.140.96.80
sac-prod1-srch-data-04.unix.newokl.com,10.140.64.64
sac-prod1-srch-data-04-con.newokl.com,10.141.64.64
sac-prod1-mobile-web-01.unix.newokl.com,10.140.32.91
sac-prod1-mobile-web-02.unix.newokl.com,10.140.32.92
sac-prod1-srch-web-01.unix.newokl.com,10.140.64.65
sac-prod1-srch-web-01-con.newokl.com,10.141.64.65
sac-prod1-srch-web-02.unix.newokl.com,10.140.64.66
sac-prod1-srch-web-02-con.newokl.com,10.141.64.66
sac-prod1-gen-db-01.unix.newokl.com,10.140.64.68
sac-prod1-gen-db-02.unix.newokl.com,10.140.64.69
sfo-int-imp-gen-01.unix.newokl.com,10.110.11.167
sfo-int-catfin-web-01.unix.newokl.com,10.110.11.168
sfo-int-catfin-web-02.unix.newokl.com,10.110.11.169
sac-prod1-fo-web-01.unix.newokl.com,10.140.32.191
sac-prod1-bo-web-01.unix.newokl.com,10.140.32.211
sac-prod1-cs-web-01.unix.newokl.com,10.140.32.201
sac-prod1-fo-web-02.unix.newokl.com,10.140.32.192
sac-prod1-bo-web-02.unix.newokl.com,10.140.32.212
sac-prod1-cs-web-02.unix.newokl.com,10.140.32.202
sac-prod1-pim-db-01.unix.newokl.com,10.140.64.105
sac-prod1-pim-db-01-con.newokl.com,10.141.64.105
sac-prod1-pim-db-02.unix.newokl.com,10.140.64.106
sac-prod1-pim-db-02-con.newokl.com,10.141.64.106
sac-prod1-pim-app-04.unix.newokl.com,10.140.64.104
